,행정구,사업장명,업태구분명,지번주소,도로명주소,X,Y
1141,관악구,이브,단란주점,서울특별시 관악구 신림동 1422-30 ,"서울특별시 관악구 남부순환로 1619-1, 지하1층 (신림동)",193797.910925896,442501.74580411
1142,관악구,퀸노래클럽,단란주점,서울특별시 관악구 신림동 1421-55번지 ,"서울특별시 관악구 신림로64길 11, 1층 (신림동)",193779.105067109,442553.528776558
1143,관악구,티나노래,단란주점,서울특별시 관악구 봉천동 858-1번지 ,서울특별시 관악구 봉천로 482 (봉천동),195808.39718403,442170.016608274
1144,관악구,별밤7080,단란주점,서울특별시 관악구 신림동 530-29번지 ,"서울특별시 관악구 난곡로 325, 2층 (신림동)",192327.36020231,442321.735092546
1145,관악구,신사동라이브7080,단란주점,서울특별시 관악구 신림동 529-12번지 ,서울특별시 관악구 난곡로 330 (신림동),192363.831421228,442363.569839222
1146,관악구,월드컵노래광장,단란주점,서울특별시 관악구 신림동 538-7 ,서울특별시 관악구 남부순환로 1465 (신림동),192279.622857249,442202.069476585
1147,관악구,콘서트7080,단란주점,서울특별시 관악구 신림동 529-8번지 ,"서울특별시 관악구 난곡로 320, 2층 (신림동)",192378.212661068,442276.910093221
1148,관악구,힐링,단란주점,서울특별시 관악구 신림동 1568-1번지 ,"서울특별시 관악구 난곡로 302, 2층 (신림동)",192403.860741324,442095.332266396
1149,관악구,소원을말해봐,단란주점,서울특별시 관악구 신림동 1431-15번지 ,"서울특별시 관악구 신림로 361 (신림동, 지하1층)",193651.400790147,442694.194137711
1150,관악구,Yu단란주점,단란주점,서울특별시 관악구 신림동 1421-63번지 ,서울특별시 관악구 신림로64길 9 (신림동),193761.462122181,442552.376302214
1151,관악구,아카데미 스탠드빠. 노래바,스텐드바,서울특별시 관악구 신림동 1474-23 ,"서울특별시 관악구 남부순환로 1474, 지하1층 (신림동)",192342.6674,442140.9258
1152,관악구,준코뮤직타운 신림2호점,단란주점,서울특별시 관악구 신림동 1640-31번지 ,서울특별시 관악구 신림로59길 14 (신림동),193630.488645251,442347.332984944
1153,관악구,로즈단란,단란주점,서울특별시 관악구 신림동 1421-60번지 지하1층 ,"서울특별시 관악구 신림로66길 12, 지하1층 (신림동)",193775.147359098,442573.713902487
1154,관악구,17%,단란주점,서울특별시 관악구 신림동 1423-19 ,"서울특별시 관악구 봉천로12길 63, 지하1층 (신림동)",193768.214700377,442644.882774357
1155,관악구,호박,단란주점,서울특별시 관악구 남현동 1061-3 외1필지 가호 ,"서울특별시 관악구 남현1길 68-6 (남현동,외1필지 가호)",198258.813290653,441491.304306948
1156,관악구,쇼킹노래바,단란주점,서울특별시 관악구 신림동 1655-16 ,"서울특별시 관악구 시흥대로 560, 지하1층 (신림동)",191264.654358325,442307.124584641
1157,관악구,텍사스 라이브,단란주점,서울특별시 관악구 신림동 1474-10번지 ,"서울특별시 관악구 남부순환로 1456, 지상2층 (신림동)",192201.958233183,442110.836529352
1158,관악구,동경,단란주점,서울특별시 관악구 신림동 1432-73번지 ,"서울특별시 관악구 신림로 353, 4층 (신림동)",193667.814824278,442621.679865443
1159,관악구,주원7080매들리,단란주점,서울특별시 관악구 신림동 1484-6번지 ,"서울특별시 관악구 남부순환로 1444, 지하1층 (신림동)",192082.654096615,442083.284222806
1160,관악구,열린마당,단란주점,서울특별시 관악구 봉천동 62-17번지 ,서울특별시 관악구 관악로 208 (봉천동),195921.567888368,442346.10015548
1161,관악구,아스카노래짱,단란주점,서울특별시 관악구 남현동 1057-25번지 ,서울특별시 관악구 남현길 8 (남현동),197932.052774817,441549.557877748
1162,관악구,수애리,단란주점,서울특별시 관악구 신림동 1429-1번지 지하1층 ,"서울특별시 관악구 신림로 391 (신림동,지하1층)",193547.481187712,442986.213945228
